Country,GDP_PerCapita_2000 US$,SuicideRate_2000,GDP_PerCapita_2005 US$,SuicideRate_2005,GDP_PerCapita_2010 US$,SuicideRate_2010,GDP per Capita 2015,SuicideRate_2015,GDP per Capita (US$),"Suicide Rate per 100,000 people",Continent,,Top 5 name,Top 5 gdp,Top 5 suicide,,Last 5 name,Last 5 gdp,Last 5 suicide,
Afghanistan,,5.7,242,6.3,543,5.1,578,4.8,547,5,Asia,,,,,,,,,1
Albania,1126.683318,5.5,2674,6.7,4094,7.8,3953,6,4124,6,Europe,,,,,,,,,
Algeria,1765.022577,4.1,3113,3.8,4481,3.3,4178,3.2,3949,3,Africa,,,,,,,,,
Argentina,7708.100996,9.5,5110,9,10386,8.7,13789,8.8,12790,9,South America,,,,,,,,,
Armenia,622.7421391,3.3,1644,4.4,3218,6,3607,7,3592,7,Asia,,,,,,,,,
Australia,21679.24784,13.2,33999,12.3,52022,12.5,56748,13.8,50020,13,Oceania,,,,,,,,,
Austria,24564.45829,20,38403,17.3,46858,16,44177,16,45103,16,Europe,,,,,,,,,
Azerbaijan,655.0974326,2.2,1578,3.2,5843,3.1,5500,2.7,3881,3,Asia,,,,,,,,,
Bahrain,13636.40824,6.7,17959,7,20722,5.2,22689,5.9,22619,6,Asia,,,,,,,,,
Bangladesh,418.0689683,6.7,499,6.3,781,6.4,1248,6.1,1402,6,Asia,,,,,,,,,
Barbados,11496.6024,2.1,14104,3.7,16056,2.1,16066,0.7,15847,1,North America,,,,,,,,,
Belarus,1276.288034,43.1,3126,45.1,6181,38.2,5949,26.3,5023,26,Europe,,,,,,,,,
Belgium,23207.40591,22.7,36967,21.2,44380,21.3,40441,20.1,41449,21,Europe,,,,,,,,,
Belize,3364.423711,5.5,3926,4.9,4331,4.9,4883,4.8,4904,5,North America,,,,,,,,,
Bolivia,,,,,,,,,1,1,South America,,,,,,,,,
Bosnia and Herzegovina,1467.776477,10.7,2981,9.3,4636,8,4727,8.9,4995,9,Europe,,,,,,,,,
Botswana,3522.308678,11.8,5520,12.6,6435,11.1,6800,9.7,7244,9,Africa,,,,,,,,,
Brazil,3749.75325,4.8,4790,5.5,11286,5.7,8814,6.5,8713,7,South America,,,,,,,,,
Brunei,18012.55626,2.8,26105,3.3,35270,3.7,31165,4.5,27157,5,Asia,,,,,,,,,
Bulgaria,1609.882452,18.5,3870,13.4,6843,12.5,6994,11.4,7469,12,Europe,,,,,,,,,
